id,countries,countryAbbr,stars,title,description,duration,rating,reviews,price,image,cities
1,"Royaume-Uni","UK",5,"Visite guidée de Cambridge","Visite guidée de l'université de Harvard pour les étudiants","70 minutes",4.6,2934,104.63,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/Royaume-Uni.jpg?t=2024-09-24T09%3A10%3A28.521Z","Cambridge"
2,"France","FR",5,"Tour de la ville de Paris","Découverte des monuments emblématiques de Paris en bus touristique","2 heures",4.7,1832,75.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/France.jpg?t=2024-09-24T09%3A10%3A50.289Z","Paris"
3,"Italie","IT",4,"Excursion en bateau à Venise","Croisière romantique à travers les canaux de Venise","1 heure 30 minutes",4.8,2110,55.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/Venise.jpg?t=2024-09-24T09%3A11%3A31.093Z","Venise"
4,"Tanzanie","TZ",5,"Safari dans le Serengeti","Observation des grands animaux sauvages dans le parc national du Serengeti","4 heures",4.9,1345,220.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/Serengeti.jpg?t=2024-09-24T09%3A17%3A35.690Z","Serengeti"
5,"Égypte","EG",5,"Visite des pyramides d'Égypte","Exploration des pyramides de Gizeh et de la grande pyramide de Khéops","3 heures",4.5,2701,150.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/Egypte.jpg?t=2024-09-24T09%3A18%3A17.029Z","Le Caire"
6,"Italie","IT",4,"Dégustation de vin en Toscane","Visite des vignobles et dégustation de vins en Toscane","5 heures",4.7,1602,120.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/wine.jpg?t=2024-09-24T09%3A18%3A02.685Z","Toscane"
7,"Polynésie française","PF",5,"Plongée sous-marine à Bora Bora","Expérience de plongée pour explorer les récifs coralliens de Bora Bora","2 heures",4.9,1458,200.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/robert-edward-bradley-1IfaGVN2ZAk-unsplash.jpg","Bora Bora"
8,"Suisse","CH",4,"Randonnée dans les Alpes suisses","Randonnée guidée à travers les paysages alpins suisses","6 heures",4.6,1103,85.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/wine.jpg?t=2024-09-24T09%3A18%3A02.685Z","Zermatt"
9,"États-Unis","US",5,"Visite du Grand Canyon","Excursion en bus au Grand Canyon avec vue panoramique","3 heures",4.8,1987,90.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/briona-baker-ajQqVNXdA6w-unsplash.jpg?t=2024-09-24T09%3A20%3A40.475Z","Grand Canyon"
10,"Japon","JP",5,"Découverte de Tokyo","Tour des attractions principales de Tokyo avec un guide local","4 heures",4.7,1352,80.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/erik-eastman-4HG5hlhmZg8-unsplash.jpg?t=2024-09-24T09%3A21%3A43.906Z","Tokyo"
11,"Norvège","NO",5,"Croisière dans les fjords de Norvège","Croisière spectaculaire dans les fjords norvégiens","5 heures",4.8,1220,150.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/christoffer-engstrom-tjguVu0GoEM-unsplash.jpg?t=2024-09-24T09%3A22%3A27.361Z","Oslo"
12,"Italie","IT",4,"Visite guidée de Rome","Tour des sites historiques de Rome avec un guide professionnel","3 heures",4.6,1745,95.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/chris-czermak-gZKzBhsO6KY-unsplash.jpg","Rome"
13,"Pérou","PE",5,"Excursion à Machu Picchu","Visite guidée des ruines de Machu Picchu","4 heures",4.9,1889,220.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/vlad-d-_XRgG3hLxyw-unsplash.jpg","Machu Picchu"
14,"Australie","AU",5,"Découverte de Sydney","Tour des attractions principales de Sydney, y compris l'Opéra","4 heures",4.7,1408,100.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/vlad-d-_XRgG3hLxyw-unsplash.jpg","Sydney"
