id,name,address,city,country,descriptions,stars,typeRoom,rate,countryAbbr,mainMoney,money,price,equipment
1,Coastal Escape,789 Shoreline Dr,Miami,USA,"A serene hotel located along the coast, perfect for a relaxing getaway.",4,"Hôtel",4.5,"US","USD","[""USD""]",220,"[""WiFi"",""Beach Access"",""Fitness Center"",""Spa"",""Restaurant"",""Pool"",""Room Service"",""Air Conditioning"",""Parking"",""Pet Friendly""]"
2,Mountain View Lodge,456 Peak Rd,Denver,USA,"Nestled in the mountains, this lodge offers stunning views and outdoor adventures.",5,"Lodge",4.8,"US","USD","[""USD""]",250,"[""WiFi"",""Hiking Trails"",""Spa"",""Restaurant"",""Bar"",""Outdoor Pool"",""Fireplace"",""Laundry Service"",""Bicycle Rental"",""Free Breakfast""]"
3,City Center Inn,123 Main St,New York,USA,"A modern inn in the heart of the city, close to all major attractions.",3,"Hôtel",4.2,"US","USD","[""USD""]",180,"[""WiFi"",""Restaurant"",""Gym"",""24-hour Front Desk"",""Room Service"",""Business Center"",""Laundry Service"",""Parking"",""Pet Friendly"",""Air Conditioning""]"
4,Riverside Resort,321 River Rd,Los Angeles,USA,"A peaceful resort by the river, ideal for families and relaxation.",4,"Resort",4.6,"US","USD","[""USD""]",200,"[""WiFi"",""Pool"",""Playground"",""Restaurant"",""Fitness Center"",""Room Service"",""Laundry Service"",""Parking"",""Pet Friendly"",""Game Room""]"
5,Historic Palace,789 Old St,Paris,France,"A luxurious palace with a rich history and elegant decor.",5,"Hôtel",4.9,"FR","EUR","[""EUR""]",300,"[""WiFi"",""Bar"",""Spa"",""24-hour Room Service"",""Concierge"",""Laundry Service"",""Airport Shuttle"",""Business Center"",""Valet Parking"",""Gym""]"
6,Urban Retreat,567 City Ave,New York,USA,"A trendy hotel with a vibrant atmosphere and modern amenities.",4,"Hôtel",4.7,"US","USD","[""USD""]",210,"[""WiFi"",""Restaurant"",""Bar"",""Pool"",""Gym"",""24-hour Front Desk"",""Room Service"",""Laundry Service"",""Parking"",""Air Conditioning""]"
7,Beachfront Paradise,123 Ocean Blvd,Honolulu,Hawaii,"A tropical oasis right on the beach, perfect for a relaxing vacation.",5,"Resort",4.9,"US","USD","[""USD""]",350,"[""WiFi"",""Beach Access"",""Spa"",""Restaurant"",""Bar"",""Pool"",""Fitness Center"",""Room Service"",""Laundry Service"",""Free Breakfast""]"
8,Lakeside Cabin,456 Lakeview Dr,Chicago,USA,"Cozy cabins by the lake, ideal for nature lovers and family getaways.",4,"Cabin",4.6,"US","USD","[""USD""]",200,"[""WiFi"",""Lake Access"",""Fireplace"",""BBQ Facilities"",""Game Room"",""Laundry Service"",""Free Parking"",""Pet Friendly"",""Outdoor Activities"",""Fishing Gear""]"
9,Ski Resort Lodge,789 Snowy Hill,Denver,USA,"A mountain lodge offering easy access to ski slopes and winter activities.",5,"Lodge",4.8,"US","USD","[""USD""]",280,"[""WiFi"",""Ski Rentals"",""Spa"",""Restaurant"",""Bar"",""Hot Tub"",""Game Room"",""Free Breakfast"",""Fireplace"",""Laundry Service""]"
10,Countryside Inn,135 Greenway,Texas,USA,"A charming inn surrounded by nature, perfect for a peaceful retreat.",3,"Inn",4.3,"US","USD","[""USD""]",150,"[""WiFi"",""Garden"",""BBQ Facilities"",""Free Parking"",""Laundry Service"",""Outdoor Seating"",""Pet Friendly"",""Room Service"",""Fire Pit"",""Bicycle Rental""]"
11,Desert Oasis,246 Sandy St,Phoenix,USA,"A luxurious hotel in the desert with stunning views and serene surroundings.",4,"Hôtel",4.6,"US","USD","[""USD""]",240,"[""WiFi"",""Pool"",""Spa"",""Restaurant"",""Bar"",""Fitness Center"",""Room Service"",""Laundry Service"",""Parking"",""Air Conditioning""]"
12,City View Apartments,321 High St,San Francisco,USA,"Modern apartments with breathtaking city views and full amenities.",5,"Apartment",4.7,"US","USD","[""USD""]",300,"[""WiFi"",""Gym"",""Pool"",""Kitchenette"",""Laundry Facilities"",""Parking"",""24-hour Security"",""Room Service"",""Free Breakfast"",""Pet Friendly""]"
13,Cozy Chalet,654 Mountain Rd,Aspen,USA,"A charming chalet perfect for winter sports enthusiasts and family fun.",4,"Chalet",4.8,"US","USD","[""USD""]",260,"[""WiFi"",""Ski Storage"",""Spa"",""Restaurant"",""Bar"",""Game Room"",""Laundry Service"",""Free Parking"",""Pet Friendly"",""Fireplace""]"
14,Rooftop Hotel,987 Sky St,Los Angeles,USA,"A stylish hotel with rooftop views and trendy decor.",5,"Hôtel",4.9,"US","USD","[""USD""]",320,"[""WiFi"",""Bar"",""Rooftop Pool"",""Gym"",""Restaurant"",""Room Service"",""24-hour Front Desk"",""Laundry Service"",""Free Parking"",""Air Conditioning""]"
15,Family Fun Resort,432 Happy Lane,Orlando,USA,"A family-friendly resort with activities for all ages.",4,"Resort",4.5,"US","USD","[""USD""]",200,"[""WiFi"",""Water Park"",""Game Room"",""Restaurant"",""Free Breakfast"",""Fitness Center"",""Kids Club"",""Laundry Service"",""Parking"",""Pet Friendly""]"
16,Luxury Getaway,888 Fancy Rd,Las Vegas,USA,"An upscale hotel with lavish amenities and entertainment options.",5,"Hôtel",4.8,"US","USD","[""USD""]",400,"[""WiFi"",""Casino"",""Spa"",""Pool"",""Fine Dining"",""Nightclub"",""Room Service"",""Laundry Service"",""Valet Parking"",""Air Conditioning""]"
17,Cultural Heritage Hotel,555 Museum St,Washington,USA,"A hotel rich in history, located near major cultural sites.",4,"Hôtel",4.7,"US","USD","[""USD""]",220,"[""WiFi"",""Restaurant"",""Bar"",""Fitness Center"",""Conference Room"",""Room Service"",""Laundry Service"",""Parking"",""Air Conditioning""]"
18,Seaside Villa,111 Oceanview Rd,Miami,USA,"A luxurious villa by the sea with private access to the beach.",5,"Villa",4.9,"US","USD","[""USD""]",500,"[""WiFi"",""Beach Access"",""Spa"",""Restaurant"",""Private Pool"",""Bar"",""Room Service"",""Laundry Service"",""Free Breakfast"",""Air Conditioning""]"
19,Historic Mansion,777 Old Manor St,New Orleans,USA,"An elegant mansion offering a unique experience in a historic setting.",5,"Hôtel",4.6,"US","USD","[""USD""]",300,"[""WiFi"",""Bar"",""Restaurant"",""Spa"",""Room Service"",""Concierge"",""Laundry Service"",""Parking"",""Pet Friendly"",""Fireplace""]"
20,Mediterranean Escape,222 Sunshine Blvd,Barcelona,Spain,"A beautiful hotel with Mediterranean architecture and relaxing ambiance.",4,"Hôtel",4.5,"ES","EUR","[""EUR""]",260,"[""WiFi"",""Pool"",""Restaurant"",""Bar"",""Gym"",""Room Service"",""Laundry Service"",""Parking"",""Air Conditioning""]"
21,Safari Lodge,444 Wild Animal Rd,Cape Town,South Africa,"A unique lodge that offers safari experiences and luxury accommodations.",5,"Lodge",4.9,"ZA","ZAR","[""ZAR""]",350,"[""WiFi"",""Safari Tours"",""Spa"",""Restaurant"",""Bar"",""Game Viewing"",""Laundry Service"",""Airport Shuttle"",""Free Breakfast"",""Pet Friendly""]"
22,Zen Retreat,333 Peaceful Way,Tokyo,Japan,"A tranquil retreat offering traditional Japanese hospitality and serene surroundings.",4,"Ryokan",4.6,"JP","JPY","[""JPY""]",220,"[""WiFi"",""Hot Springs"",""Spa"",""Restaurant"",""Tea Ceremony"",""Room Service"",""Laundry Service"",""Parking"",""Air Conditioning""]"
23,Winter Wonderland,678 Snowy Path,Reykjavik,Iceland,"A cozy hotel with easy access to winter sports and stunning landscapes.",4,"Hôtel",4.7,"IS","ISK","[""ISK""]",210,"[""WiFi"",""Spa"",""Restaurant"",""Bar"",""Ski Rentals"",""Laundry Service"",""Free Parking"",""Fireplace"",""Pet Friendly""]"
24,Luxury Cruise Hotel,345 Ocean Dr,Miami,USA,"A floating hotel offering luxurious amenities and ocean views.",5,"Cruise",4.9,"US","USD","[""USD""]",400,"[""WiFi"",""Pool"",""Spa"",""Restaurant"",""Bar"",""Gym"",""Room Service"",""Laundry Service"",""Entertainment"",""Air Conditioning""]"
25,Modern Studio,222 Modern Way,San Francisco,USA,"Chic studios equipped with modern amenities in the heart of the city.",4,"Studio",4.5,"US","USD","[""USD""]",190,"[""WiFi"",""Kitchenette"",""Gym"",""Laundry Facilities"",""Parking"",""24-hour Security"",""Room Service"",""Air Conditioning"",""Free Breakfast""]"
26,Hillside Bungalow,999 Hilltop Rd,Honolulu,Hawaii,"A secluded bungalow with stunning views and private amenities.",5,"Bungalow",4.8,"US","USD","[""USD""]",320,"[""WiFi"",""Pool"",""BBQ Facilities"",""Fireplace"",""Laundry Service"",""Parking"",""Outdoor Seating"",""Air Conditioning"",""Pet Friendly""]"
27,Grand Palace Hotel,456 Royal Ave,Bangkok,Thailand,"A lavish hotel with royal architecture and world-class service.",5,"Hôtel",4.9,"TH","THB","[""THB""]",350,"[""WiFi"",""Spa"",""Pool"",""Restaurant"",""Bar"",""Gym"",""24-hour Room Service"",""Concierge"",""Laundry Service"",""Valet Parking""]"
28,Highland Lodge,321 Mountain St,Edinburgh,Scotland,"A cozy lodge with traditional Scottish hospitality and breathtaking views.",4,"Lodge",4.6,"GB","GBP","[""GBP""]",250,"[""WiFi"",""Restaurant"",""Bar"",""Fireplace"",""Laundry Service"",""Outdoor Activities"",""Free Parking"",""Pet Friendly"",""Game Room""]"
29,Palatial Suites,777 Lux St,Dubai,United Arab Emirates,"A luxurious hotel with opulent suites and extravagant amenities.",5,"Suite",4.8,"AE","AED","[""AED""]",500,"[""WiFi"",""Spa"",""Private Pool"",""Fine Dining"",""Bar"",""Room Service"",""24-hour Concierge"",""Laundry Service"",""Valet Parking"",""Air Conditioning""]"
30,Countryside Retreat,101 Green Rd,Vancouver,Canada,"A charming retreat surrounded by nature, ideal for a peaceful getaway.",4,"Retreat",4.5,"CA","CAD","[""CAD""]",210,"[""WiFi"",""Garden"",""BBQ Facilities"",""Free Parking"",""Outdoor Seating"",""Fire Pit"",""Pet Friendly"",""Room Service"",""Laundry Service""]"
31,Crystal Lagoon Resort,222 Lagoon St,Malé,Maldives,"A luxurious resort with crystal clear waters and private villas.",5,"Resort",4.9,"MV","MVR","[""MVR""]",600,"[""WiFi"",""Beach Access"",""Spa"",""Restaurant"",""Bar"",""Private Pool"",""Room Service"",""Laundry Service"",""Concierge"",""Water Sports""]"
32,Desert Mirage,456 Desert Rd,Marrakech,Morocco,"A stunning hotel that blends traditional and modern designs in the heart of the desert.",5,"Hôtel",4.8,"MA","MAD","[""MAD""]",300,"[""WiFi"",""Spa"",""Restaurant"",""Pool"",""Bar"",""Room Service"",""Laundry Service"",""24-hour Front Desk"",""Free Parking""]"
33,Art Deco Hotel,678 Vintage St,Miami,USA,"A stylish hotel featuring art deco design and contemporary comforts.",4,"Hôtel",4.6,"US","USD","[""USD""]",230,"[""WiFi"",""Restaurant"",""Bar"",""Gym"",""Room Service"",""24-hour Front Desk"",""Laundry Service"",""Air Conditioning"",""Parking""]"
34,Island Retreat,890 Island Rd,Phuket,Thailand,"A tranquil retreat surrounded by nature, ideal for relaxation.",5,"Hôtel",4.9,"TH","THB","[""THB""]",400,"[""WiFi"",""Spa"",""Restaurant"",""Beach Access"",""Pool"",""Room Service"",""Laundry Service"",""Free Breakfast"",""Air Conditioning""]"
35,Sand Dunes Resort,345 Sand Rd,Sahara,Algeria,"An oasis in the desert, offering luxury and adventure.",5,"Resort",4.9,"DZ","DZD","[""DZD""]",450,"[""WiFi"",""Pool"",""Restaurant"",""Bar"",""Spa"",""Laundry Service"",""Room Service"",""24-hour Front Desk"",""Outdoor Activities""]"
36,European Elegance,543 Europe St,Paris,France,"A stylish hotel with European flair and modern amenities.",4,"Hôtel",4.6,"FR","EUR","[""EUR""]",280,"[""WiFi"",""Spa"",""Restaurant"",""Bar"",""Gym"",""Room Service"",""Laundry Service"",""Air Conditioning""]"
